0 -1 2e-26 0.01 1 1 0.0130215
81 61
nH T Edot YT YHI YHeI YHeII Ye E
1e-05 10 3.50265e-31 1.42752 0.1 0.059 3.84434e-09 0.637306 1.76642e+09
1e-05 13.3352 3.72977e-32 1.58616 0.0101873 0.00121262 0.0467447 0.795949 2.61734e+09
1e-05 17.7828 3.30714e-32 1.59012 0.00865549 0.000988424 0.0447644 0.799909 3.49899e+09
1e-05 23.7137 2.93117e-32 1.59399 0.00734141 0.00079787 0.0425912 0.803778 4.67733e+09
1e-05 31.6228 2.59646e-32 1.59778 0.00621677 0.000638397 0.0402451 0.807567 6.25215e+09
1e-05 42.1697 2.29778e-32 1.60149 0.00525634 0.000506503 0.0377535 0.811283 8.35677e+09
1e-05 56.2341 2.03067e-32 1.60513 0.00443776 0.000398485 0.0351497 0.814921 1.11693e+10
1e-05 74.9894 1.7911e-32 1.60868 0.00374131 0.000310811 0.0324722 0.818471 1.49274e+10
1e-05 100 1.57586e-32 1.61212 0.00314976 0.000240278 0.029762 0.821914 1.99486e+10
1e-05 133.352 1.38262e-32 1.61544 0.00264806 0.000184054 0.0270615 0.825228 2.66565e+10
1e-05 177.828 1.20972e-32 1.6186 0.00222317 0.000139672 0.0244118 0.828392 3.56167e+10
1e-05 237.137 1.05408e-32 1.62159 0.00186382 0.000104995 0.0218505 0.831382 4.75833e+10
1e-05 316.228 9.13246e-33 1.62439 0.00156029 7.81922e-05 0.0194105 0.834179 6.35629e+10
1e-05 421.697 7.85065e-33 1.62698 0.00130424 5.77016e-05 0.017118 0.836768 8.48976e+10
1e-05 562.341 6.67915e-33 1.62935 0.00108853 4.22088e-05 0.0149921 0.839141 1.13378e+11
1e-05 749.894 5.62488e-33 1.6315 0.00090701 3.06212e-05 0.0130449 0.841293 1.51391e+11
1e-05 1000 4.68451e-33 1.63344 0.000754469 2.20443e-05 0.0112814 0.843226 2.02123e+11
1e-05 1333.52 3.86411e-33 1.63516 0.000626439 1.57579e-05 0.00970105 0.844947 2.69819e+11
1e-05 1778.28 3.16174e-33 1.63668 0.000519121 1.11922e-05 0.00829812 0.846466 3.60144e+11
1e-05 2371.37 2.57992e-33 1.63801 0.000429285 7.90361e-06 0.00706335 0.847797 4.8065e+11
1e-05 3162.28 2.11116e-33 1.63917 0.000354185 5.55244e-06 0.00598495 0.848956 6.41411e+11
1e-05 4216.97 1.73699e-33 1.64017 0.000291496 3.88255e-06 0.00504956 0.849957 8.55858e+11
